scale,fullID,primary_category_code,primary_prop,primary_label,secondary_category_code,secondary_prop,secondary_label,prop_sum
1 km,152_Q624-7_2025_peat_sites_1028,TrFEN,0.3066074758960773,Treed Fen,TrBOG,0.26045773918350706,Treed Bog,0.5670652150795843
1 m,154_Q629-3_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,154_Q629-3_2025_peat_sites_1028,TrFEN,0.7151439365462184,Treed Fen,ConSWA,0.2848560634537815,Coniferous Swamp,1
100 m,154_Q629-3_2025_peat_sites_1028,TrFEN,0.7790403250860356,Treed Fen,ConSWA,0.18787394411497033,Coniferous Swamp,0.966914269201006
1 km,154_Q629-3_2025_peat_sites_1028,TrFEN,0.4060061615975902,Treed Fen,TrBOG,0.17250498155914873,Treed Bog,0.5785111431567389
1 m,155_Q629-6_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,155_Q629-6_2025_peat_sites_1028,OFEN,0.5298452680598419,Open Fen,TrFEN,0.45252213242097356,Treed Fen,0.9823674004808154
100 m,155_Q629-6_2025_peat_sites_1028,OFEN,0.42016413893996846,Open Fen,TrFEN,0.30295885998279604,Treed Fen,0.7231229989227645
1 km,155_Q629-6_2025_peat_sites_1028,TrFEN,0.4529983971715304,Treed Fen,TrBOG,0.2892100789381336,Treed Bog,0.742208476109664
1 m,156_Q629-8_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,156_Q629-8_2025_peat_sites_1028,OBOG,0.9972873384428955,Open Bog,TrBOG,0.0027126615571044857,Treed Bog,1
100 m,156_Q629-8_2025_peat_sites_1028,OBOG,0.9084322573576693,Open Bog,TrBOG,0.09156774264233067,Treed Bog,1
1 km,156_Q629-8_2025_peat_sites_1028,TrBOG,0.5575215402868028,Treed Bog,OBOG,0.19970088882245474,Open Bog,0.7572224291092575
1 m,157_Q637-1_2025_peat_sites_1028,OBOG,1,Open Bog,NA,NA,NA,NA
50 m,157_Q637-1_2025_peat_sites_1028,OBOG,0.5611135963792253,Open Bog,OFEN,0.43888640362077475,Open Fen,1
100 m,157_Q637-1_2025_peat_sites_1028,OFEN,0.5544810401903976,Open Fen,OBOG,0.3371503815151713,Open Bog,0.8916314217055689
1 km,157_Q637-1_2025_peat_sites_1028,TrBOG,0.3111901203876106,Treed Bog,OBOG,0.2832665134912242,Open Bog,0.5944566338788349
1 m,158_Q637-2_2025_peat_sites_1028,TrFEN,1,Treed Fen,NA,NA,NA,NA
50 m,158_Q637-2_2025_peat_sites_1028,TrFEN,0.6824871709311131,Treed Fen,TrBOG,0.31751282906888695,Treed Bog,1
